VIP_AccountID,VIP_BillingPointID,VIP_MarketerID,VIP_ProductBundleID,ServiceZipCode,InvoiceMonth1,InvoiceMonth2,InvoiceMonth3,InvoiceMonth4,InvoiceMonth5,InvoiceMonth6,InvoiceMonth7,InvoiceMonth8,InvoiceMonth9,InvoiceMonth10,InvoiceMonth11,InvoiceMonth12,PaymentMonth1,PaymentMonth2,PaymentMonth3,PaymentMonth4,PaymentMonth5,PaymentMonth6,PaymentMonth7,PaymentMonth8,PaymentMonth9,PaymentMonth10,PaymentMonth11,PaymentMonth12,Rating
1933,1615,253,183,93304,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
4573,4437,253,2,94010,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
5323,6343,253,70,95350,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1
5999,5403,253,70,95776,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1
7935,7520,253,70,95128,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1
8542,8908,253,2,93638,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8934,8328,253,33,94124,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1
11104,10253,253,70,94066,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11916,10945,253,70,93905,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1
12121,11097,253,70,94402,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1
13370,12091,253,70,95215,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
